Date;Dir;Int
06/02/2007 14:00:00;155.69;3.92
06/02/2007 09:00:00;306.16;2.55
06/02/2007 07:00:00;330.06;0.2
06/02/2007 01:00:00;138.81;3.33
05/02/2007 11:00:00;175.38;6.27
05/02/2007 09:00:00;165.53;5.29
05/02/2007 05:00:00;166.94;3.92
05/02/2007 00:00:00;145.84;0.59
04/02/2007 21:00:00;157.09;3.92
04/02/2007 18:00:00;144.44;3.53
04/02/2007 13:00:00;159.91;4.51
04/02/2007 12:00:00;145.84;4.51
04/02/2007 10:00:00;172.56;4.51
03/02/2007 22:00:00;145.84;2.55
03/02/2007 14:00:00;176.78;3.73
03/02/2007 12:00:00;258.34;0.39
03/02/2007 10:00:00;158.5;3.73
03/02/2007 07:00:00;16.47;1.96
03/02/2007 06:00:00;300.53;2.16
03/02/2007 01:00:00;316;3.92
02/02/2007 23:00:00;110.69;5.88
02/02/2007 19:00:00;254.13;1.37
02/02/2007 17:00:00;147.25;1.57
02/02/2007 15:00:00;272.41;2.75
02/02/2007 11:00:00;44.59;0.39
02/02/2007 09:00:00;74.13;0.2
02/02/2007 01:00:00;98.03;0.59
01/02/2007 21:00:00;151.47;3.53
01/02/2007 13:00:00;116.31;4.12
01/02/2007 11:00:00;124.75;3.53
01/02/2007 08:00:00;155.69;3.92
01/02/2007 02:00:00;9.44;1.96
31/01/2007 18:00:00;349.75;0.78
31/01/2007 16:00:00;165.53;3.92
31/01/2007 13:00:00;166.94;2.55
31/01/2007 12:00:00;308.97;0.2
31/01/2007 10:00:00;48.81;0.39
30/01/2007 23:00:00;126.16;1.57
30/01/2007 22:00:00;175.38;1.96
30/01/2007 20:00:00;102.25;2.75
30/01/2007 18:00:00;278.03;6.67
30/01/2007 17:00:00;303.34;4.12
30/01/2007 15:00:00;325.84;3.14
30/01/2007 14:00:00;307.56;2.75
30/01/2007 07:00:00;301.94;0.78
29/01/2007 19:00:00;310.38;3.14
29/01/2007 17:00:00;157.09;1.37
29/01/2007 15:00:00;313.19;2.35
29/01/2007 11:00:00;328.66;2.16
29/01/2007 05:00:00;320.22;2.55
26/01/2007 17:00:00;338.5;1.76
26/01/2007 15:00:00;299.13;3.92
26/01/2007 14:00:00;168.34;0.59
26/01/2007 05:00:00;216.16;0
26/01/2007 03:00:00;127.56;0.98
26/01/2007 01:00:00;124.75;2.75
26/01/2007 00:00:00;143.03;2.55
25/01/2007 21:00:00;143.03;2.94
25/01/2007 19:00:00;308.97;4.31
25/01/2007 17:00:00;43.19;1.57
25/01/2007 04:00:00;2.41;1.18
25/01/2007 02:00:00;159.91;2.35
24/01/2007 21:00:00;207.72;0
24/01/2007 18:00:00;9.44;2.35
24/01/2007 12:00:00;136;3.14
24/01/2007 07:00:00;140.22;4.51
24/01/2007 01:00:00;126.16;3.14
23/01/2007 23:00:00;141.63;1.96
23/01/2007 22:00:00;131.78;0
23/01/2007 20:00:00;308.97;1.57
23/01/2007 18:00:00;338.5;0.78
23/01/2007 17:00:00;136;2.16
23/01/2007 15:00:00;165.53;1.96
23/01/2007 14:00:00;189.44;0.59
23/01/2007 11:00:00;164.13;3.33
23/01/2007 09:00:00;171.16;2.75
23/01/2007 03:00:00;130.38;1.96
22/01/2007 19:00:00;256.94;2.94
22/01/2007 17:00:00;159.91;3.92
22/01/2007 15:00:00;145.84;3.53
22/01/2007 08:00:00;310.38;2.55
22/01/2007 05:00:00;297.72;3.14
22/01/2007 04:00:00;358.19;3.92
22/01/2007 03:00:00;3.81;5.49
22/01/2007 02:00:00;195.06;0.39
21/01/2007 21:00:00;269.59;6.86
21/01/2007 19:00:00;286.47;2.35
21/01/2007 18:00:00;269.59;2.75
21/01/2007 16:00:00;308.97;1.57
21/01/2007 13:00:00;280.84;1.96
21/01/2007 07:00:00;78.34;1.76
21/01/2007 06:00:00;5.22;0.39
21/01/2007 04:00:00;327.25;1.57
21/01/2007 02:00:00;121.94;1.76
20/01/2007 20:00:00;316;6.27
20/01/2007 18:00:00;161.31;3.73
20/01/2007 14:00:00;148.66;2.16
20/01/2007 09:00:00;69.91;0.59
20/01/2007 07:00:00;162.72;2.16
20/01/2007 01:00:00;140.22;1.96
19/01/2007 23:00:00;155.69;2.16
19/01/2007 22:00:00;159.91;2.55
19/01/2007 20:00:00;317.41;3.53
19/01/2007 15:00:00;307.56;0.78
19/01/2007 14:00:00;294.91;1.76
19/01/2007 11:00:00;304.75;0
19/01/2007 05:00:00;20.69;1.76
19/01/2007 01:00:00;150.06;4.31
18/01/2007 21:00:00;137.41;3.73
18/01/2007 19:00:00;158.5;4.31
18/01/2007 17:00:00;313.19;4.12
18/01/2007 00:00:00;155.69;1.57
17/01/2007 21:00:00;259.75;1.37
17/01/2007 20:00:00;93.81;2.55
17/01/2007 19:00:00;72.72;4.51
17/01/2007 18:00:00;81.16;3.53
17/01/2007 16:00:00;112.09;3.33
17/01/2007 12:00:00;165.53;4.71
17/01/2007 09:00:00;140.22;4.31
17/01/2007 07:00:00;155.69;3.73
17/01/2007 03:00:00;152.88;0.78
16/01/2007 22:00:00;300.53;2.16
16/01/2007 20:00:00;313.19;1.96
16/01/2007 15:00:00;151.47;2.94
16/01/2007 14:00:00;145.84;0.78
16/01/2007 05:00:00;297.72;1.37
16/01/2007 03:00:00;334.28;3.14
15/01/2007 23:00:00;279.44;2.16
15/01/2007 22:00:00;297.72;3.33
15/01/2007 19:00:00;324.44;4.12
15/01/2007 17:00:00;317.41;4.12
15/01/2007 04:00:00;31.94;1.37
14/01/2007 18:00:00;332.88;1.57
14/01/2007 16:00:00;293.5;1.96
14/01/2007 06:00:00;307.56;2.75
14/01/2007 02:00:00;168.34;3.53
13/01/2007 20:00:00;320.22;5.29
13/01/2007 18:00:00;301.94;4.71
13/01/2007 14:00:00;306.16;3.14
13/01/2007 11:00:00;300.53;2.35
13/01/2007 09:00:00;44.59;0.2
13/01/2007 07:00:00;320.22;0
13/01/2007 03:00:00;55.84;0.2
12/01/2007 23:00:00;316;2.55
12/01/2007 22:00:00;310.38;3.53
12/01/2007 17:00:00;313.19;4.31
12/01/2007 08:00:00;34.75;0.39
12/01/2007 03:00:00;93.81;0.59
12/01/2007 01:00:00;117.72;0.2
11/01/2007 21:00:00;155.69;3.14
11/01/2007 16:00:00;209.13;0.78
11/01/2007 14:00:00;292.09;1.18
11/01/2007 12:00:00;140.22;1.96
11/01/2007 10:00:00;169.75;1.37
11/01/2007 07:00:00;166.94;4.31
11/01/2007 05:00:00;169.75;4.12
11/01/2007 00:00:00;335.69;0.78
10/01/2007 20:00:00;324.44;6.08
10/01/2007 18:00:00;300.53;3.53
10/01/2007 15:00:00;303.34;3.33
10/01/2007 14:00:00;283.66;2.75
10/01/2007 11:00:00;15.06;1.18
10/01/2007 09:00:00;9.44;0.2
10/01/2007 04:00:00;318.81;1.96
10/01/2007 02:00:00;103.66;0.2
09/01/2007 22:00:00;306.16;5.1
09/01/2007 20:00:00;344.13;2.55
09/01/2007 19:00:00;324.44;4.71
09/01/2007 17:00:00;310.38;4.9
09/01/2007 15:00:00;282.25;2.75
09/01/2007 13:00:00;300.53;3.33
09/01/2007 11:00:00;314.59;2.35
09/01/2007 08:00:00;55.84;0.39
09/01/2007 01:00:00;231.63;0.98
08/01/2007 23:00:00;308.97;2.75
08/01/2007 22:00:00;64.28;3.33
08/01/2007 19:00:00;75.53;3.33
08/01/2007 12:00:00;20.69;0.98
08/01/2007 05:00:00;317.41;4.71
08/01/2007 00:00:00;171.16;3.92
07/01/2007 21:00:00;328.66;3.92
07/01/2007 15:00:00;41.78;1.96
07/01/2007 14:00:00;145.84;2.35
07/01/2007 05:00:00;82.56;5.1
07/01/2007 04:00:00;145.84;4.9
07/01/2007 02:00:00;76.94;2.16
06/01/2007 20:00:00;92.41;2.75
06/01/2007 15:00:00;88.19;1.18
06/01/2007 11:00:00;313.19;2.16
06/01/2007 09:00:00;40.38;0.2
06/01/2007 06:00:00;299.13;1.76
05/01/2007 23:00:00;161.31;3.53
05/01/2007 22:00:00;162.72;4.51
05/01/2007 16:00:00;141.63;2.35
05/01/2007 13:00:00;2.41;0.98
05/01/2007 07:00:00;22.09;0.98
04/01/2007 23:00:00;178.19;0.39
04/01/2007 20:00:00;81.16;6.27
04/01/2007 14:00:00;297.72;2.94
04/01/2007 12:00:00;307.56;1.18
04/01/2007 10:00:00;325.84;0.98
04/01/2007 08:00:00;316;0.2
04/01/2007 03:00:00;348.34;3.14
04/01/2007 00:00:00;313.19;2.75
03/01/2007 18:00:00;64.28;4.51
03/01/2007 17:00:00;65.69;5.69
03/01/2007 09:00:00;27.72;0.39
03/01/2007 08:00:00;133.19;0.59
03/01/2007 04:00:00;314.59;4.31
03/01/2007 02:00:00;1;0.78
03/01/2007 01:00:00;88.59;3.14
02/01/2007 23:00:00;53.44;4.71
02/01/2007 21:00:00;126.16;2.55
02/01/2007 20:00:00;108.28;2.55
02/01/2007 19:00:00;159.91;1.96
02/01/2007 18:00:00;54.84;0.39
02/01/2007 17:00:00;84.38;0.78
02/01/2007 16:00:00;72.72;4.71
02/01/2007 15:00:00;286.88;0
02/01/2007 14:00:00;11.25;1.18
02/01/2007 13:00:00;324.84;0
02/01/2007 12:00:00;54.84;1.76
02/01/2007 11:00:00;47.81;1.57
02/01/2007 09:00:00;183.81;3.73
02/01/2007 08:00:00;178.19;4.71
02/01/2007 07:00:00;171.16;3.92
02/01/2007 06:00:00;131.78;6.08
02/01/2007 04:00:00;120.94;1.76
02/01/2007 03:00:00;175.38;4.51
02/01/2007 02:00:00;102.66;3.14
02/01/2007 01:00:00;130.38;4.51
01/01/2007 22:00:00;60.47;3.53
01/01/2007 20:00:00;151.47;3.53
01/01/2007 19:00:00;104.06;2.55
01/01/2007 18:00:00;81.16;3.33
01/01/2007 16:00:00;88.59;4.12
01/01/2007 15:00:00;87.19;2.94
01/01/2007 14:00:00;133.19;0.98
01/01/2007 13:00:00;91.41;1.57
01/01/2007 12:00:00;327.25;0.98
01/01/2007 09:00:00;147.25;3.92
01/01/2007 08:00:00;253.13;1.96
01/01/2007 07:00:00;196.88;0.78
01/01/2007 05:00:00;165.53;6.47
01/01/2007 04:00:00;348.75;2.16
01/01/2007 03:00:00;209.13;0.98
01/01/2007 00:00:00;14.06;2.35
31/12/2006 17:00:00;121.94;2.75
31/12/2006 15:00:00;123.34;2.55
31/12/2006 09:00:00;145.84;4.9
31/12/2006 08:00:00;161.31;4.12
31/12/2006 05:00:00;134.59;4.51
31/12/2006 04:00:00;148.66;3.92
31/12/2006 02:00:00;159.91;4.9
31/12/2006 00:00:00;181;5.1
30/12/2006 21:00:00;119.13;3.92
30/12/2006 19:00:00;74.13;5.49
30/12/2006 13:00:00;138.81;4.31
30/12/2006 12:00:00;127.56;4.51
30/12/2006 08:00:00;157.09;2.94
30/12/2006 07:00:00;140.22;4.9
30/12/2006 06:00:00;144.44;5.88
30/12/2006 04:00:00;120.53;4.51
29/12/2006 23:00:00;158.5;5.29
29/12/2006 18:00:00;157.09;2.94
29/12/2006 11:00:00;113.5;2.94
29/12/2006 09:00:00;150.06;5.29
29/12/2006 07:00:00;130.38;4.9
29/12/2006 03:00:00;258.34;4.12
28/12/2006 22:00:00;294.91;2.94
28/12/2006 17:00:00;148.66;2.55
28/12/2006 15:00:00;147.25;0.98
28/12/2006 13:00:00;54.44;0.39
28/12/2006 11:00:00;12.25;1.76
28/12/2006 10:00:00;244.28;0.98
28/12/2006 08:00:00;22.09;1.18
28/12/2006 05:00:00;88.19;3.53
28/12/2006 02:00:00;297.72;2.55
28/12/2006 00:00:00;9.44;0.78
27/12/2006 19:00:00;176.78;2.35
27/12/2006 17:00:00;171.16;0.39
27/12/2006 06:00:00;157.09;3.53
26/12/2006 18:00:00;310.38;5.88
26/12/2006 16:00:00;283.66;3.14
26/12/2006 12:00:00;273.81;1.18
26/12/2006 09:00:00;137.41;0.59
26/12/2006 07:00:00;113.5;0.78
26/12/2006 03:00:00;311.78;4.71
26/12/2006 01:00:00;311.78;3.33
25/12/2006 22:00:00;159.91;3.33
25/12/2006 20:00:00;351.16;1.37
25/12/2006 14:00:00;303.34;2.55
25/12/2006 13:00:00;165.53;0
25/12/2006 11:00:00;93.81;0.78
25/12/2006 09:00:00;168.34;0.98
25/12/2006 08:00:00;123.34;1.96
25/12/2006 05:00:00;13.66;0.2
25/12/2006 03:00:00;72.72;1.18
25/12/2006 01:00:00;241.47;0.2
25/12/2006 00:00:00;338.5;1.18
24/12/2006 23:00:00;293.5;1.96
24/12/2006 19:00:00;307.56;5.88
24/12/2006 13:00:00;296.31;3.14
24/12/2006 10:00:00;10.84;0.59
24/12/2006 08:00:00;9.44;0.59
24/12/2006 04:00:00;124.75;2.16
24/12/2006 02:00:00;310.38;1.37
23/12/2006 21:00:00;20.69;2.35
23/12/2006 18:00:00;55.84;3.73
23/12/2006 16:00:00;155.69;2.16
23/12/2006 12:00:00;316;2.35
23/12/2006 09:00:00;9.44;0.98
23/12/2006 07:00:00;285.06;0.2
23/12/2006 06:00:00;81.16;0.59
23/12/2006 04:00:00;303.34;2.16
22/12/2006 20:00:00;316;3.33
22/12/2006 18:00:00;306.16;2.75
22/12/2006 11:00:00;43.19;0.78
22/12/2006 09:00:00;107.88;1.37
22/12/2006 05:00:00;289.28;2.55
22/12/2006 03:00:00;47.41;0.2
21/12/2006 17:00:00;88.19;0.2
21/12/2006 16:00:00;64.28;4.12
21/12/2006 11:00:00;265.38;1.76
21/12/2006 08:00:00;98.03;2.94
21/12/2006 05:00:00;147.25;1.37
21/12/2006 03:00:00;19.28;1.57
20/12/2006 21:00:00;68.5;6.08
20/12/2006 16:00:00;290.69;1.57
20/12/2006 10:00:00;24.91;0
20/12/2006 06:00:00;297.72;3.92
20/12/2006 05:00:00;279.44;1.57
20/12/2006 04:00:00;8.03;2.35
20/12/2006 00:00:00;311.78;4.12
19/12/2006 18:00:00;47.41;3.14
19/12/2006 09:00:00;137.41;1.37
19/12/2006 07:00:00;356.78;2.35
19/12/2006 02:00:00;140.22;1.96
18/12/2006 22:00:00;166.94;0.78
18/12/2006 17:00:00;95.22;2.16
18/12/2006 15:00:00;105.06;3.33
18/12/2006 13:00:00;127.56;4.51
18/12/2006 11:00:00;137.41;5.88
18/12/2006 09:00:00;179.59;4.9
18/12/2006 05:00:00;188.03;1.76
17/12/2006 23:00:00;169.75;1.18
17/12/2006 19:00:00;141.63;3.14
17/12/2006 17:00:00;171.16;3.14
17/12/2006 16:00:00;107.88;3.73
17/12/2006 13:00:00;145.84;3.73
17/12/2006 10:00:00;154.28;5.1
16/12/2006 18:00:00;279.44;1.76
16/12/2006 16:00:00;76.94;4.51
16/12/2006 14:00:00;93.81;1.96
16/12/2006 12:00:00;123.34;2.35
16/12/2006 10:00:00;175.38;2.75
16/12/2006 07:00:00;185.22;4.12
16/12/2006 04:00:00;;1.18
16/12/2006 02:00:00;3.81;0.2
15/12/2006 20:00:00;162.72;0.59
15/12/2006 15:00:00;102.25;2.55
15/12/2006 14:00:00;44.59;1.57
15/12/2006 07:00:00;12.25;1.18
15/12/2006 06:00:00;171.16;0.2
15/12/2006 03:00:00;186.63;5.29
14/12/2006 23:00:00;99.44;2.55
14/12/2006 13:00:00;145.84;3.53
14/12/2006 11:00:00;136;4.71
14/12/2006 08:00:00;127.56;4.51
14/12/2006 03:00:00;130.38;3.92
14/12/2006 01:00:00;147.25;5.29
13/12/2006 21:00:00;130.38;4.51
13/12/2006 18:00:00;116.31;4.12
13/12/2006 16:00:00;119.13;4.9
13/12/2006 10:00:00;147.25;5.49
13/12/2006 02:00:00;144.44;4.51
13/12/2006 00:00:00;127.56;2.94
12/12/2006 20:00:00;159.91;3.92
12/12/2006 14:00:00;157.09;6.67
12/12/2006 07:00:00;140.22;6.67
12/12/2006 06:00:00;141.63;6.86
12/12/2006 04:00:00;137.41;5.69
11/12/2006 22:00:00;151.47;5.69
11/12/2006 17:00:00;127.56;5.1
11/12/2006 11:00:00;120.53;4.51
11/12/2006 09:00:00;150.06;6.27
10/12/2006 16:00:00;99.44;4.51
10/12/2006 13:00:00;140.22;2.75
10/12/2006 08:00:00;131.78;3.53
10/12/2006 05:00:00;60.06;1.57
09/12/2006 18:00:00;304.75;4.31
09/12/2006 14:00:00;147.25;1.57
09/12/2006 12:00:00;171.16;1.57
09/12/2006 10:00:00;206.31;0.59
09/12/2006 08:00:00;314.59;3.73
09/12/2006 06:00:00;313.19;3.33
09/12/2006 04:00:00;320.22;2.75
09/12/2006 02:00:00;303.34;7.25
09/12/2006 00:00:00;72.72;5.69
08/12/2006 23:00:00;72.72;4.51
08/12/2006 22:00:00;64.28;1.57
08/12/2006 20:00:00;159.91;1.18
08/12/2006 15:00:00;144.44;2.35
08/12/2006 14:00:00;164.13;3.33
08/12/2006 11:00:00;131.78;1.76
08/12/2006 09:00:00;344.13;0.59
08/12/2006 07:00:00;352.56;0.39
08/12/2006 01:00:00;15.06;1.37
07/12/2006 23:00:00;316;0.78
07/12/2006 21:00:00;299.13;3.33
07/12/2006 19:00:00;317.41;4.71
07/12/2006 13:00:00;318.81;3.53
07/12/2006 08:00:00;307.56;3.73
07/12/2006 05:00:00;16.47;0
07/12/2006 03:00:00;258.34;0.2
06/12/2006 21:00:00;301.94;4.12
06/12/2006 18:00:00;355.38;3.33
06/12/2006 16:00:00;301.94;3.53
06/12/2006 12:00:00;301.94;1.18
06/12/2006 10:00:00;344.13;2.94
06/12/2006 04:00:00;311.78;1.18
06/12/2006 02:00:00;55.84;0.78
05/12/2006 20:00:00;159.91;3.33
05/12/2006 15:00:00;154.28;3.73
05/12/2006 14:00:00;151.47;1.37
05/12/2006 12:00:00;151.47;4.12
05/12/2006 07:00:00;332.88;4.31
05/12/2006 06:00:00;321.63;3.53
05/12/2006 04:00:00;311.78;3.14
04/12/2006 23:00:00;353.97;2.16
04/12/2006 22:00:00;314.59;4.31
04/12/2006 19:00:00;8.03;3.73
04/12/2006 17:00:00;133.19;2.55
04/12/2006 15:00:00;143.03;4.71
04/12/2006 11:00:00;151.47;4.51
04/12/2006 09:00:00;128.97;4.12
04/12/2006 07:00:00;117.72;2.94
04/12/2006 03:00:00;279.44;2.94
04/12/2006 01:00:00;31.94;1.76
03/12/2006 21:00:00;112.09;3.33
03/12/2006 19:00:00;152.88;2.75
03/12/2006 16:00:00;128.97;2.55
03/12/2006 08:00:00;164.13;5.29
03/12/2006 02:00:00;95.22;3.92
03/12/2006 00:00:00;124.75;3.53
02/12/2006 20:00:00;107.88;4.51
02/12/2006 18:00:00;114.91;4.71
02/12/2006 16:00:00;158.5;3.92
02/12/2006 12:00:00;161.31;7.45
02/12/2006 10:00:00;151.47;7.45
02/12/2006 06:00:00;155.69;7.06
02/12/2006 04:00:00;147.25;7.84
01/12/2006 23:00:00;154.28;6.27
01/12/2006 22:00:00;143.03;5.88
01/12/2006 17:00:00;157.09;6.67
01/12/2006 15:00:00;141.63;7.06
01/12/2006 14:00:00;151.47;5.29
01/12/2006 09:00:00;137.41;5.1
01/12/2006 07:00:00;128.97;4.9
01/12/2006 03:00:00;165.53;2.55
01/12/2006 01:00:00;147.25;6.08
30/11/2006 19:00:00;307.56;3.73
30/11/2006 17:00:00;173.97;1.18
30/11/2006 16:00:00;263.97;1.18
30/11/2006 13:00:00;12.25;0
30/11/2006 05:00:00;72.72;0.2
30/11/2006 03:00:00;117.72;2.16
29/11/2006 21:00:00;310.38;2.75
29/11/2006 18:00:00;286.47;3.33
29/11/2006 16:00:00;286.47;2.94
29/11/2006 13:00:00;323.03;3.33
29/11/2006 12:00:00;261.16;0.78
29/11/2006 10:00:00;147.25;0.59
29/11/2006 08:00:00;22.09;0.59
28/11/2006 22:00:00;31.94;0.98
28/11/2006 20:00:00;88.19;5.1
28/11/2006 18:00:00;38.97;2.75
28/11/2006 15:00:00;188.03;1.18
28/11/2006 14:00:00;311.78;1.96
28/11/2006 12:00:00;5.22;0.2
28/11/2006 07:00:00;5.22;1.57
27/11/2006 23:00:00;155.69;3.92
27/11/2006 22:00:00;85.38;3.14
27/11/2006 17:00:00;287.88;3.14
27/11/2006 15:00:00;105.06;4.12
27/11/2006 09:00:00;173.97;2.55
27/11/2006 05:00:00;38.97;0.59
27/11/2006 03:00:00;100.84;0.98
27/11/2006 01:00:00;325.84;0.98
26/11/2006 21:00:00;114.91;3.14
26/11/2006 19:00:00;161.31;5.49
26/11/2006 16:00:00;130.38;3.92
26/11/2006 13:00:00;317.41;2.94
26/11/2006 11:00:00;335.69;1.76
26/11/2006 10:00:00;345.53;1.96
26/11/2006 08:00:00;328.66;4.12
26/11/2006 02:00:00;24.91;0.2
25/11/2006 21:00:00;64.28;3.92
25/11/2006 20:00:00;75.53;4.9
25/11/2006 18:00:00;83.97;5.1
25/11/2006 16:00:00;79.75;5.69
25/11/2006 12:00:00;161.31;3.92
25/11/2006 06:00:00;145.84;6.27
24/11/2006 22:00:00;103.66;4.51
24/11/2006 20:00:00;136;4.51
24/11/2006 15:00:00;107.88;5.1
24/11/2006 09:00:00;136;4.71
24/11/2006 01:00:00;143.03;2.16
23/11/2006 21:00:00;145.84;3.92
23/11/2006 19:00:00;185.22;0.78
23/11/2006 17:00:00;165.53;0.39
23/11/2006 13:00:00;148.66;5.49
23/11/2006 09:00:00;150.06;4.31
23/11/2006 05:00:00;69.91;0.2
23/11/2006 03:00:00;47.41;1.57
23/11/2006 00:00:00;307.56;2.75
22/11/2006 13:00:00;68.5;1.37
22/11/2006 10:00:00;144.44;3.53
22/11/2006 04:00:00;55.84;1.76
22/11/2006 02:00:00;34.75;0.2
21/11/2006 22:00:00;166.94;2.16
21/11/2006 20:00:00;311.78;1.96
21/11/2006 18:00:00;308.97;2.55
21/11/2006 14:00:00;317.41;0.39
21/11/2006 12:00:00;293.5;2.35
21/11/2006 06:00:00;304.75;2.94
20/11/2006 23:00:00;152.88;3.33
20/11/2006 22:00:00;110.69;0.78
20/11/2006 20:00:00;26.31;1.96
20/11/2006 17:00:00;275.22;2.16
20/11/2006 15:00:00;296.31;0.2
20/11/2006 11:00:00;71.31;1.57
20/11/2006 05:00:00;152.88;5.88
20/11/2006 03:00:00;323.03;3.73
20/11/2006 01:00:00;103.66;3.33
19/11/2006 21:00:00;299.13;4.12
19/11/2006 16:00:00;161.31;4.51
19/11/2006 13:00:00;172.56;5.29
19/11/2006 11:00:00;171.16;3.92
19/11/2006 10:00:00;57.25;0.39
19/11/2006 08:00:00;154.28;2.75
19/11/2006 05:00:00;51.63;2.16
19/11/2006 02:00:00;206.31;9.8
19/11/2006 00:00:00;67.09;1.18
18/11/2006 21:00:00;297.72;2.16
18/11/2006 18:00:00;280.84;1.76
18/11/2006 16:00:00;286.47;3.14
18/11/2006 12:00:00;134.59;3.73
18/11/2006 10:00:00;46;1.18
18/11/2006 06:00:00;54.44;0.2
18/11/2006 04:00:00;50.22;0.59
17/11/2006 23:00:00;61.47;2.16
17/11/2006 22:00:00;72.72;1.37
17/11/2006 20:00:00;134.59;1.96
17/11/2006 15:00:00;69.91;5.1
17/11/2006 14:00:00;79.75;3.92
17/11/2006 09:00:00;126.16;3.73
17/11/2006 07:00:00;147.25;5.1
16/11/2006 19:00:00;123.34;2.55
16/11/2006 13:00:00;124.75;2.35
16/11/2006 11:00:00;151.47;1.76
15/11/2006 18:00:00;123.34;3.14
15/11/2006 16:00:00;85.38;5.1
15/11/2006 12:00:00;328.66;2.35
15/11/2006 10:00:00;98.03;3.14
